qid,chapter,correct,question_text,score_length(機械),score_qualifier(機械),score_keyword(機械),score_surface(Claude),score_knowledge(Claude),合計スコア,判定区分,Claude判定理由,選択肢A,選択肢B,選択肢C,選択肢D,正解文字数,不正解平均文字数
Q2-029,第2章,D,公衆衛生分野における生成AIの活用例として最も適切なものはどれか。,5,0,0,4,4,13,注意,レポート作成支援が正解、強制・自動終息・監視隔離は不可,AIがワクチン接種の強制実施を決定する,AIが感染症の流行を自動的に終息させる,AIが個人の行動を監視して感染者を隔離する,感染症サーベイランスデータの分析レポート作成や、健康教育資料の作成支援,35,20
Q2-030,第2章,B,糖尿病患者向けの食事療法説明資料を生成AIで作成する場合、医療者が確認すべき事項として最も優先度が高いものはどれか。,5,0,0,4,4,13,注意,医学的正確性が最優先は常識、他は形式（ページ・フォント・デザイン）,資料のページ数が適切か,カロリー制限や食品交換表の内容が医学的に正確で、個々の患者の状態に適しているか,使用しているフォントが統一されているか,資料のデザインが見やすいか,39,14
Q2-031,第2章,C,CDSシステムが提供するアラート機能の例として最も適切なものはどれか。,3,0,0,5,4,12,注意,薬剤相互作用警告がCDSの典型、他はメニュー・出退勤・駐車で明白に無関係,病院食のメニュー案内,職員の出退勤時刻の通知,薬剤の相互作用や重複投与の警告,病院の駐車場の空き状況の通知,15,12
Q2-032,第2章,D,AI問診システムの導入において、システムの精度評価の指標として最も重要なものはどれか。,5,0,0,4,3,12,注意,医師診断との一致率が精度指標、他は料金・時間・デザインで無関係,システムの月額利用料金,患者の入力にかかる平均時間,問診画面のデザイン評価スコア,医師の診断結果との一致率（感度・特異度）,20,13
Q2-033,第2章,D,ICU（集中治療室）の看護師が患者の状態変化の早期発見にAIを活用する場合、最も適切な活用方法はどれか。,4,3,0,4,4,15,要改善,AIアラート+看護師確認が正解、巡回減・自動治療・観察省略は明白に不可,AIを使用しているので、夜間の巡回を減らす,AIのアラートに基づいて、看護師の判断なしに自動的に治療を開始する,AIのアラートのみに依存し、ベッドサイドでの患者観察を省略する,AIがバイタルサインの異常傾向を検知してアラートを出し、看護師が患者を直接確認する,41,28
Q2-034,第2章,C,系統的レビュー（システマティックレビュー）の作成において、生成AIが補助できる作業として最も適切なものはどれか。,5,0,1,4,4,14,注意,一次スクリーニング補助が正解、結論導出・最終評価・捏造は明白に不可,結論の導出と公表,研究の質の最終評価の決定,文献の一次スクリーニング（タイトル・抄録の確認）の補助,統計解析結果の捏造,27,10
Q2-035,第2章,D,医療機関のウェブサイトに設置するAIチャットボットの適切な機能として最も適切なものはどれか。,4,0,0,4,4,12,注意,診療時間問合せが正解、緊急判断・診断・処方・治療指示は明白に不可,緊急性の判断を行い、救急車の要請を自動で行う,患者の症状から最終診断を行い、処方箋を発行する,患者の検査結果を解釈して治療方針を指示する,診療時間、予約方法、持ち物などの一般的な問い合わせへの自動応答,31,22
Q2-036,第2章,D,生成AIを用いて薬歴（お薬手帳の記録）の要約を作成する場合の留意点として最も適切なものはどれか。,5,3,0,4,4,16,要改善,薬剤師確認が正解、同意なし入力・確認不要・そのまま交付は不可,患者の同意なく薬歴情報をAIに入力する,AIが要約した内容は常に正確なので、確認は不要である,AIが作成した要約をそのまま患者に交付する,薬剤師がAIの出力を確認し、薬剤名、用量、服用方法の正確性を検証する,34,22
Q2-037,第2章,B,医学部の臨床実習前教育において、生成AIを活用した症例シミュレーションを実施する場合の注意点として最も重要なものはどれか。,5,3,2,4,4,18,要改善,教員検証が正解、実患者情報・AIのみ代替・成績反映は不可,リアリティを高めるため、実在の患者情報をそのまま使用する,AIが生成した症例の医学的妥当性を教員が検証し、不正確な内容が含まれていないか確認する,AIシミュレーションのみで臨床実習を代替する,シミュレーションの結果を学生の最終成績に直接反映する,43,25
Q2-038,第2章,C,診療情報提供書（紹介状）の作成に生成AIを活用する場合、含めるべき情報として最も重要なものはどれか。,5,0,0,5,4,14,注意,症状+診断+検査+目的が紹介状の常識、他（口コミ・趣味・飲食店）は明白に無関係,紹介先病院の評判や口コミ,担当医師の趣味や特技,患者の現在の症状、診断名、実施した検査・治療、紹介目的,病院周辺の飲食店情報,27,11
Q2-039,第2章,B,トリアージにおける緊急度分類で、一般的に「赤」に分類される状態はどれか。,5,0,1,3,2,11,注意,トリアージ赤=最緊急の知識、ただし長さで容易判別,風邪症状で来院,生命の危機が迫っており、直ちに処置が必要な状態,健康診断の結果について相談したい,軽度の打撲で歩行可能,23,11
Q2-040,第2章,C,診察中の会話を音声認識AIで文字起こしし、カルテの下書きを自動生成するシステム（アンビエント・クリニカル・インテリジェンス）の導入における課題として最も重要なものはどれか。,5,0,1,4,3,13,注意,音声誤変換リスクが本質、他はインテリア・速度・費用で副次的,診察室のインテリアを変更する必要があること,医師が話すスピードが遅くなること,音声認識の誤変換や文脈の誤解釈により、誤った医療情報がカルテに記載されるリスク,システムの導入費用が高額であること,39,18
Q2-041,第2章,B,生成AIを用いて患者向けの検査説明パンフレットを作成する場合、最も重要な確認事項はどれか。,5,0,0,5,4,14,注意,医学的正確性が最優先、他は解像度・色・サイズで明白に副次的,使用している写真の解像度が高いか,検査の目的、方法、注意事項が医学的に正確に記載されているか,パンフレットの色使いがきれいか,パンフレットのサイズがA4であるか,29,16
Q2-042,第2章,D,外国人患者への説明にAI翻訳を使用する際、医学専門用語の翻訳品質を確保するために最も効果的な方法はどれか。,4,0,0,4,4,12,注意,医療通訳者確認が正解、確認しない・無料サービス・配布のみは不可,翻訳結果をそのまま患者に渡して、読み上げは行わない,患者が理解したかどうかは確認しない,無料のウェブ翻訳サービスをそのまま使用する,医療通訳者または多言語対応ができる医療者が、翻訳内容を確認する,31,21
Q2-043,第2章,A,医療画像診断AIの活用場面として最も一般的なものはどれか。,3,0,0,4,4,11,注意,医師読影支援が正解、患者直接通知・撮影代替・自動診断は不可,AIが画像から異常候補を検出し、医師の読影を支援する,AIが患者に直接画像診断結果を通知する,AIが撮影技師の代わりにX線撮影を実施する,AIが最終診断を確定し、診断書を自動発行する,26,21
Q2-044,第2章,B,医療事務担当者が生成AIを用いてレセプト（診療報酬請求書）の点検を行う場合、最も適切な活用方法はどれか。,5,3,0,4,4,16,要改善,人間最終確認が正解、自動提出・AI判断のみ減額・確認省略は不可,AIがレセプトを自動的に審査機関に提出する,AIが病名と処置の整合性をチェックした結果を参考に、人間が最終確認を行う,AIの判断のみで診療報酬を減額する,AIの点検結果をそのまま採用し、人間による確認は省略する,36,22
Q2-045,第2章,D,理学療法士がリハビリテーションの経過記録に生成AIを活用する場合の適切な方法はどれか。,5,0,1,4,4,14,注意,PT確認・修正が正解、そのまま保存・終了判断・効果評価は不可,AIの記録をそのまま診療記録として保存する,AIがリハビリの終了時期を決定する,AIが患者のリハビリの効果を最終評価する,日々の訓練内容と患者の反応をAIで文章化し、理学療法士が内容を確認・修正する,38,19
Q2-046,第2章,B,「医療DX」における「全国医療情報プラットフォーム」と生成AIの関係として想定されるものはどれか。,5,3,0,4,3,15,要改善,適切アクセス管理下で利用が穏当、他は経営統一・自由アクセス・利用禁止で極端,生成AIが全国の医療機関の経営を統一的に管理する,プラットフォームに集約された医療情報を、適切なアクセス管理のもとでAI活用に利用できる可能性がある,生成AIがプラットフォーム上のすべての患者情報に自由にアクセスできるようになる,プラットフォームの構築により、医療機関はAIの利用を禁止される,49,31
Q2-047,第2章,A,CDS（臨床意思決定支援）システムにおける「アラート疲労」の問題とその対策として最も適切なものはどれか。,5,5,0,4,3,17,要改善,優先度設定が正解、すべて同じ・無効化・増やすほど向上は明白に逆,重要度に応じてアラートの優先度を設定し、真に重要な警告が見逃されないようにする,すべてのアラートに対して同じ緊急度表示を使用する,アラート機能を完全に無効化し、医師の判断のみに委ねる,アラートの数を増やせば増やすほど、医療安全が向上する,39,25
Q2-048,第2章,C,看護師が生成AIを用いてケアプランの下書きを作成する場合、特に注意すべき点はどれか。,5,0,0,4,4,13,注意,個別状態反映の確認が正解、他患者適用・文字数・そのまま使用は不可,他の患者にも同じケアプランを適用できるか確認する,ケアプランの文字数が規定に収まっているか,患者個別の状態やニーズがAIの一般的な出力に反映されているか確認し、必要に応じて修正する,AIが作成したケアプランをそのまま使用する,44,22
Q2-049,第2章,C,AI問診システムが提示する「鑑別診断リスト」の意味として最も適切なものはどれか。,5,0,0,3,3,11,注意,鑑別=疾患候補の知識問題、他選択肢も別概念として valid,患者が過去にかかった疾患の履歴,患者の最終的な確定診断の結果,入力された症状から考えられる疾患の候補一覧,保険適用となる疾患の一覧,21,14
Q2-050,第2章,D,研究者が生成AIを用いて医学論文の英文校正を行う場合の適切な方法はどれか。,4,3,2,4,4,17,要改善,研究者確認が正解、開示しない・意味違い採用・そのまま提出は不可,校正にAIを使用したことは一切開示しない,AIが提案した表現が元の意味と異なっていても採用する,AIの校正結果をそのまま採用し、提出する,AIによる校正後、研究者が内容の正確性と表現の適切性を確認する,31,22
Q2-051,第2章,C,がん患者へのインフォームドコンセント説明資料を生成AIで作成する場合、最も重視すべき配慮はどれか。,5,3,0,4,4,16,要改善,正確+理解できる+医師確認が正解、他はコスト・専門用語・隠蔽で不適切,AIの出力をそのまま使用してコストを削減する,専門用語を多用して医学的正確性を高める,治療選択肢、期待される効果と副作用を正確かつ患者が理解できる表現で記載し、医師が内容を確認する,良い面のみを強調して患者を安心させる,47,20
Q2-052,第2章,C,薬剤師が処方監査において薬剤相互作用のチェックにAIを活用する場合、適切な運用方法はどれか。,4,0,0,4,4,12,注意,薬剤師最終判断が正解、AI優先・確認不要・自動却下は不可,AIの判定が医師の処方と異なる場合は、AIを優先する,AIが相互作用なしと判定したら、薬剤師の確認は不要,AIの検出結果を参考にしつつ、最終判断は薬剤師が専門知識に基づいて行う,AIが相互作用ありと判定したら、自動的に処方を却下する,35,26
Q2-053,第2章,C,患者向け医療AIチャットボットに実装すべき機能として最も重要なものはどれか。,5,0,0,5,4,14,注意,緊急受診促進が本質、天気・占い・ゲームは明白に医療と無関係,天気予報の表示,占いや運勢の提供,緊急性の高い症状を認識し、速やかな受診を促すメッセージの表示,ゲーム機能の搭載,30,8
Q2-054,第2章,D,生成AIによる医療文書作成支援が有効と考えられる文書はどれか。,5,0,0,5,4,14,注意,退院サマリー下書きが妥当、死亡診断書・麻薬処方・医師免許は明白に不可,死亡診断書の作成,麻薬処方箋の発行,医師免許の発行,退院サマリーの下書き作成,12,8
Q2-055,第2章,A,医学部の試験問題作成に生成AIを活用する場合の課題として最も重要なものはどれか。,5,0,1,4,4,14,注意,医学的正確性+重複が課題、他は印刷・フォント・座席で形式的,AIが生成した問題内容の医学的正確性の確認と、過去問題との重複チェック,試験用紙の印刷品質,問題文のフォント選択,試験会場の座席配置,35,9
Q2-056,第2章,A,CDSシステムが医師に提示する情報として適切なものはどれか。,5,0,0,4,4,13,注意,エビデンス+類似症例が正解、報酬・株価・最終判断は明白に不適切,エビデンスに基づく治療ガイドラインの参照情報や、類似症例の治療経過,医師の報酬額の計算,病院の株価情報,患者の診断を確定する最終判断,33,10
Q2-057,第2章,D,高齢患者向けの服薬説明書を生成AIで作成する場合、特に配慮すべき点はどれか。,5,0,1,5,4,15,要改善,平易+大きい字+服用明確が高齢者配慮、他は逆向きまたは無関係,最新の医学論文からの引用を多く含める,文字サイズは小さくして情報量を増やす,英語併記を必須とする,平易な表現、大きな文字、服用タイミングの明確な記載など、高齢者の理解しやすさに配慮する,43,15
Q2-058,第2章,A,内視鏡検査におけるAI活用の例として最も適切なものはどれか。,5,0,0,4,4,13,注意,病変検出支援が正解、患者直接通知・必要性判断・自動操作は不可,AIがリアルタイムで病変候補を検出し、医師の見落とし防止を支援する,AIが検査結果を直接患者に通知する,AIが内視鏡検査の必要性を最終判断する,AIが自動的に内視鏡を操作して検査を実施する,33,19
Q2-059,第2章,D,入院患者の転倒リスク評価にAIを活用する場合、最も重要な運用上の考慮事項はどれか。,5,0,0,4,4,13,注意,看護師観察併用が正解、本人通知・見守り減・自動拘束は不可,AIの判定結果を患者本人に直接伝える,AIが低リスクと判定した患者への見守りを減らす,AIのリスク評価に基づいて自動的に患者を拘束する,AIのリスク評価を参考にしつつ、看護師の観察と判断を組み合わせて予防策を講じる,39,22
Q2-060,第2章,C,「電子処方箋」制度と生成AIの活用可能性として考えられるものはどれか。,4,0,1,4,3,12,注意,服薬指導文書支援が穏当、AI処方決定・資格確認・薬受取は明白に不適切,生成AIが処方内容を自動的に決定する,生成AIが保険証の資格確認を行う,電子処方箋データを活用した服薬指導文書の作成支援,生成AIが患者の代わりに薬局で薬を受け取る,24,18
Q3-001,第3章,D,個人情報保護法における「利用目的の特定」の原則として最も適切なものはどれか。,4,3,0,4,3,14,注意,「通知不要」「自由変更」「大企業のみ」断定誘導,利用目的は社内で決定すればよく、本人に通知する必要はない,利用目的は事後的にいつでも自由に変更できる,利用目的の特定は大企業のみに義務付けられている,個人情報を取得する際に、できる限り利用目的を特定しなければならない,33,24
Q3-002,第3章,C,個人情報保護法における「要配慮個人情報」に該当するものはどれか。,4,0,0,4,3,11,注意,要配慮=病歴は医療常識、他は明白に該当しない,医師の勤務スケジュール,病院の電話番号,患者の病歴および診療記録,患者の氏名と住所,12,9
Q3-003,第3章,D,医療機関が患者の個人情報を第三者に提供できる場合として適切でないものはどれか。,0,0,1,5,4,10,注意,「医療機関の利益のため」は明らかに不当,患者本人の同意がある場合,人の生命・身体の保護のために必要で、本人同意を得ることが困難な場合,法令に基づく場合（感染症法に基づく届出など）,医療機関の利益のために必要と判断した場合,20,22
Q3-004,第3章,C,厚生労働省「医療情報システムの安全管理に関するガイドライン」の目的として最も適切なものはどれか。,5,0,4,5,4,18,要改善,ガイドライン名称=安全管理、他は経営・給与・建築で明白に無関係,医療機関の経営効率を最大化すること,医療従事者の給与体系を統一すること,医療情報システムの安全管理に関する指針を示し、患者情報の適切な保護を図ること,医療機関の建築基準を定めること,38,16
Q3-005,第3章,D,医療機関の職員が業務で生成AIサービスを利用する際、最もリスクが高い行為はどれか。,5,0,0,5,4,14,注意,D だけ個人情報入力で明白、他は一般情報,一般的な疾患の説明文を生成するようAIに指示する,公開されている医学論文の要約をAIに依頼する,院内で作成した研修資料の誤字チェックをAIに依頼する,患者の氏名・病名・検査値を含むカルテ情報をそのまま入力し、サマリー作成を依頼する,40,24
Q3-006,第3章,D,個人情報保護法における「匿名加工情報」と「仮名加工情報」の違いとして最も適切なものはどれか。,4,0,0,2,1,7,良問,匿名/仮名加工の純粋な用語定義問題,匿名加工情報は医療分野専用、仮名加工情報は一般企業専用の概念である,仮名加工情報は復元不可能に加工したもの、匿名加工情報は他の情報と照合すれば特定可能なもの,両者に違いはなく、同じものを指す,匿名加工情報は復元不可能に加工したもの、仮名加工情報は他の情報と照合すれば特定可能なもの,44,31
Q3-007,第3章,C,次世代医療基盤法（医療分野の研究開発に資するための匿名加工医療情報に関する法律）の目的として最も適切なものはどれか。,5,3,1,4,3,16,要改善,次世代医療基盤法=匿名加工研究、他は明白に逸脱,すべての医療情報を公開すること,医療機関の経営を国が直接管理すること,医療情報を匿名加工して研究開発に利活用できる仕組みを整備すること,医療従事者の資格試験を実施すること,32,17
Q3-008,第3章,B,電子カルテのデータを生成AIに入力して活用する場合、最も重要な注意点はどれか。,5,0,1,5,4,15,要改善,匿名化が必須、他はデザイン・フォント・速度で無関係,電子カルテの画面デザインを統一すること,患者の個人情報を適切に匿名化または削除してからAIに入力すること,電子カルテのフォントサイズを大きくすること,AIの処理速度を最大化すること,32,18
Q3-009,第3章,C,医療情報を扱うクラウドサービスに関する「3省2ガイドライン」に含まれるガイドラインはどれか。,5,0,1,4,3,13,注意,「3省」=医療関連と推測可能、他は労基・食衛・建築で無関係,労働基準法に基づくガイドラインと雇用保険法に基づくガイドライン,食品衛生法に基づくガイドラインと医薬品製造に関するガイドライン,医療情報システムの安全管理に関するガイドライン（厚労省）と、医療情報を取り扱う情報システム・サービスの提供事業者における安全管理ガイドライン（総務省・経産省）,建築基準法に基づくガイドラインと消防法に基づくガイドライン,79,30
Q3-010,第3章,D,医療機関が取り扱う「医療情報」に含まれるものとして適切でないものはどれか。,0,0,0,5,4,9,注意,地図情報は明らかに医療情報外,レセプト（診療報酬明細書）,検査データ・画像データ,診療録（カルテ）,病院周辺の地図情報,9,11
Q3-011,第3章,A,医療機関がクラウドサービスを利用して医療情報を管理する場合、データ管理責任に関する記述として最も適切なものはどれか。,5,3,1,4,3,16,要改善,「完全移転」「適用なし」断定誘導,クラウド事業者が契約に基づきシステムの安全管理を行うが、患者情報の管理責任は医療機関が負う,クラウド利用の場合、個人情報保護法は適用されない,データセンターの物理的セキュリティは医療機関が直接管理する,クラウド事業者にすべての責任が移転するため、医療機関の責任は免除される,45,29
Q3-012,第3章,B,医療情報を海外のクラウドサービスで取り扱う場合（データの越境移転）に関する記述として最も適切なものはどれか。,3,0,1,4,3,11,注意,「適用されない」「積極的に」「どの国も」断定誘導,海外のサービスを利用する場合、日本の個人情報保護法は適用されない,海外の法制度や規制を確認し、個人情報保護法に基づく適切な措置を講じる必要がある,海外のサービスの方がセキュリティが高いので、積極的に利用すべきである,患者の同意があれば、どの国にデータを移転しても問題ない,39,31
Q3-013,第3章,A,医療情報システムにおける「アクセス制御」の目的として最も適切なものはどれか。,4,3,0,5,4,16,要改善,アクセス制御の名称から自明、他は逆向きまたは無関係,権限のある者だけが必要な情報にアクセスできるようにし、不正アクセスを防ぐこと,すべての職員が全患者の情報に自由にアクセスできるようにすること,患者がインターネットから自由に診療記録にアクセスできるようにすること,システムの処理速度を向上させること,38,27
Q3-014,第3章,D,個人情報の取得・利用に関する「オプトイン」と「オプトアウト」の説明として最も適切なものはどれか。,4,0,0,2,1,7,良問,オプトイン/アウトの純粋な用語定義,オプトインもオプトアウトも同じ意味で使われる,オプトアウトは本人の事前同意に基づく方式、オプトインは本人の拒否がない限り利用する方式,オプトイン・オプトアウトは医療分野では使用されない概念である,オプトインは本人の事前同意に基づく方式、オプトアウトは本人の拒否がない限り利用する方式,43,32
Q3-015,第3章,D,医療機関で患者の個人情報が漏洩した可能性が判明した場合、最初に行うべき対応として最も適切なものはどれか。,5,0,0,5,4,14,注意,隠蔽・記者会見最初は論外、Dの拡大防止+調査+報告が常識,メディア対応のための記者会見を最初に準備する,責任者の特定と処分を最優先で行う,漏洩の事実を隠蔽し、外部に知られないようにする,被害の拡大防止措置を講じた上で、事実関係の調査と関係者への報告を行う,34,20
Q3-016,第3章,C,医療機関を標的としたランサムウェア攻撃の特徴として最も適切なものはどれか。,4,3,0,4,3,14,注意,ランサム=暗号化+身代金は一般IT知識,医療機関のデータは価値がないため攻撃対象になりにくい,ランサムウェアはインターネット接続がなければ感染しない,データを暗号化して使用不能にし、復旧と引き換えに身代金を要求する,攻撃者は常に病院内部の職員である,32,23
Q3-017,第3章,B,医療機関が患者情報を他の医療機関に提供する場合で、本人同意なく提供できるのはどれか。,4,0,0,4,3,11,注意,救命=同意不要は医療常識、他は商業目的で不可,患者の情報を製薬会社の営業担当者に提供する場合,救急搬送された意識不明患者の情報を、治療に必要な範囲で他院に提供する場合,研究目的で大学病院にデータを提供する場合,紹介状を持参せずに来院した患者について、前医の診療情報を取り寄せる場合,36,26
Q3-018,第3章,B,医療情報をインターネット経由で送信する際に使用すべき暗号化通信プロトコルはどれか。,5,0,0,4,3,12,注意,暗号化=HTTPSは一般IT知識,SMTP,HTTPS（TLS/SSL）,FTP,HTTP,14,4
Q3-019,第3章,C,医療従事者が生成AIサービスを業務利用する際、入力データに関するリスク評価として最も重要な確認事項はどれか。,5,0,1,5,4,15,要改善,学習使用+保存が本質、料金・ロゴ・速度は明白に副次的,AIサービスの利用料金が安いかどうか,AIサービスのロゴデザインが適切か,入力データがAIの学習に使用されるか、データがどこに保存されるか,AIの回答が素早いかどうか,32,16
Q3-020,第3章,B,医療情報の「二次利用」の説明として最も適切なものはどれか。,5,0,1,5,4,15,要改善,診療以外の目的=二次利用、他はダジャレ的に明白に無関係,診療報酬を2回請求すること,患者本人の診療以外の目的で医療情報を利用すること,電子カルテを2台のパソコンで同時に開くこと,同じ患者を2回診療すること,24,16
Q3-021,第3章,D,医療機関の受付担当者が患者の診察券を作成する際、「要配慮個人情報」の取得に関して最も適切な対応はどれか。,0,5,0,4,3,12,注意,目的明示+同意が原則、「一切取得しない」断定誘導,患者の氏名・住所・電話番号のみを聞き取り、病歴は診察時に医師が確認する,病歴は本人に聞かず、家族から聞き取る,要配慮個人情報は一切取得しない,問診票で病歴を聞き取る前に、利用目的を明示し本人の同意を得る,30,23
Q3-022,第3章,D,「医療情報システムの安全管理に関するガイドライン第6.0版」の構成として正しいものはどれか。,5,3,0,2,1,11,注意,ガイドライン構成の純粋な知識問題,国内向けと海外向けの2編で構成されている,医師向けと看護師向けの2編で構成されている,1編のみで構成されている,概説編、経営管理編、企画管理編、システム運用編の4編で構成されている,34,18
Q3-023,第3章,D,電子カルテシステムのアクセスログに記録すべき情報として適切でないものはどれか。,0,0,0,5,4,9,注意,私的メールは業務外で明白に対象外,アクセスした日時,アクセスした職員のID,閲覧・更新した患者の識別情報,職員の私的なメール内容,11,11
Q3-024,第3章,A,医療研究目的でデータを利活用する際、「仮名加工情報」を選択するメリットとして最も適切なものはどれか。,5,3,0,3,2,13,注意,仮名加工メリット、不正解は「自由」「免除」断定誘導,匿名加工情報より加工の程度が軽く、データの有用性を保ちやすい,個人情報保護法の規制から完全に外れる,第三者への提供が自由にできる,本人からの開示請求に対応する義務が発生する,30,18
Q3-025,第3章,C,PHR（Personal Health Record）の説明として最も適切なものはどれか。,5,3,0,4,3,15,要改善,Personal=患者自身と推測可能、他は別主体,保険会社専用の医療費データベース,製薬会社が管理する臨床試験データ,患者自身が自らの健康・医療情報を管理・活用できる仕組み,医療機関のみが管理する診療記録,27,16
Q3-026,第3章,B,電子カルテデータを院内のAI分析システムで利用する場合と、外部クラウドのAIサービスで利用する場合の違いとして最も適切なものはどれか。,5,5,2,3,3,18,要改善,外部=追加検討は常識、「常に安全」「高リスク」断定誘導,外部クラウドの方が常に安全である,外部クラウド利用の場合は、データの外部送信に伴う第三者提供の可能性や委託先管理の観点から追加の検討が必要,どちらも全く同じリスクであり、対応に違いはない,院内システムの方がセキュリティリスクが高い,52,20
Q3-027,第3章,A,次世代医療基盤法に基づいて患者の医療情報が認定匿名加工医療情報作成事業者に提供される場合、患者の権利として認められているものはどれか。,3,0,2,3,2,10,注意,オプトアウト権の知識問題、不正解は明白に逸脱,医療情報の提供を拒否（オプトアウト）する権利,認定事業者の経営に参加する権利,匿名加工された研究成果の報酬を受け取る権利,認定事業者を自由に選択する権利,22,17
Q3-028,第3章,B,クラウドサービスの形態として、アプリケーションソフトウェアをインターネット経由で提供するものを何と呼ぶか。,0,0,0,2,1,3,良問,SaaS/IaaS/PaaSの純粋なIT用語,IaaS（Infrastructure as a Service）,SaaS（Software as a Service）,DaaS（Desktop as a Service）,PaaS（Platform as a Service）,27,29
Q3-029,第3章,A,個人情報保護法に基づき、個人情報の漏洩等が発生した場合に個人情報保護委員会への報告が義務付けられる要件はどれか。,5,5,2,3,2,17,要改善,報告義務要件、「全部」「任意」断定誘導,要配慮個人情報の漏洩、1000人超の漏洩、不正アクセスによる漏洩などの場合,軽微な漏洩であっても全て報告が必要,報告は全て任意であり義務はない,従業員100人以上の事業者のみに報告義務がある,37,18
Q3-030,第3章,B,医療従事者が患者情報を生成AIサービスに入力することで発生し得るリスクとして適切でないものはどれか。,0,1,0,5,4,10,注意,「100%精度」は明らかに誤、AIに完全はない常識,入力データが第三者に漏洩する可能性,AIの回答精度が100%になる可能性,入力データがAI事業者のサーバーに保存される可能性,入力データがAIの学習に使用される可能性,18,21
Q3-031,第3章,D,医療機関がサイバーセキュリティ対策として策定すべき計画はどれか。,2,0,1,3,2,8,注意,BCPの用語知識問題、QOL/ICT/DPCは別概念,QOL（生活の質）,ICT（情報通信技術）,DPC（診断群分類）,BCP（事業継続計画）,11,10
Q3-032,第3章,C,個人情報保護法における「安全管理措置」として医療機関が講じるべき措置に含まれないものはどれか。,1,0,0,4,3,8,注意,「経営的（株主報告）」は安全管理と無関係,物理的安全管理措置（入退室管理、機器の盗難防止）,組織的安全管理措置（体制整備、規程策定）,経営的安全管理措置（株主への報告）,人的安全管理措置（従業者の教育・監督）,17,21
Q3-033,第3章,A,医療機関がグローバルに展開するクラウド型生成AIサービスを利用する際、データの越境移転に関して最も適切な対応はどれか。,5,3,0,4,3,15,要改善,「全禁止」「日本語OK」「該当しない」断定誘導,サービス提供者のデータ取扱いポリシー、サーバー所在地、当該国の法制度を確認し、必要に応じて対策を講じる,越境移転は禁止されているため、すべての海外サービスは利用できない,海外にサーバーがあっても、日本語でサービスが提供されていれば問題ない,従業員が海外出張中にアクセスすることは越境移転に該当しない,51,32
Q3-034,第3章,C,以下の情報のうち、個人情報保護法上の「個人情報」に該当するものはどれか。,5,3,0,4,3,15,要改善,個人識別可能なレセプトが個人情報、他は統計・一般情報,病院全体の年間手術件数,医薬品の一般的な副作用情報,患者ID、氏名、診療日が記載されたレセプトデータ,特定の個人を識別できない統計データ,24,14
Q3-035,第3章,C,3省2ガイドラインにおいて、クラウドサービスを提供するベンダー（事業者）に求められる事項として最も適切なものはどれか。,5,0,0,5,4,14,注意,セキュリティ要求が本質、経営参画・医療提供・医師免許は無関係,医療機関の経営への参画,患者への直接的な医療サービスの提供,サービスのセキュリティ対策、運用管理体制、障害対応などの安全管理措置,医師免許の取得,34,12
Q3-036,第3章,C,医療データの国外移転（越境移転）に関する説明として、最も適切なものはどれか。,5,3,0,3,2,13,注意,越境移転=同意+情報提供、「禁止」「不要」断定誘導,EU域内への医療データ移転は、GDPRの規定により日本からは一切禁止されている,個人データを外国にある第三者に提供する場合、本人の同意は不要である,外国にある第三者への提供には、原則として本人の同意が必要であり、移転先国の個人情報保護制度等について情報提供が求められる,クラウドサービスを利用する場合、サーバーが国外にあっても越境移転には該当しない,60,37
Q3-037,第3章,D,医療機関で患者の個人データが漏えいした可能性がある場合の対応として、適切でないものはどれか。,3,0,0,5,4,12,注意,「全容判明まで保留」は明白に不適切、速やかな対応が原則,本人への通知は、本人の権利利益を保護するために必要な範囲で行う,要配慮個人情報の漏えいが発生した場合、個人情報保護委員会への報告が義務付けられている,漏えい等の事態を知った後、速やかに事実関係の調査と原因究明を行う,漏えい等の報告は、事態の全容が判明してから行えばよいため、調査完了まで報告を保留する,42,35
Q3-038,第3章,C,電子カルテシステムと生成AIを連携させる際のデータ取り扱いについて、最も適切なものはどれか。,3,3,0,5,4,15,要改善,最小限+匿名化が本質、「不要」「常に正確」「同意なく」断定誘導,院内ネットワーク内であれば、電子カルテと生成AIの連携にセキュリティ対策は不要である,生成AIの出力結果は常に正確であるため、そのまま電子カルテに記録してよい,電子カルテから生成AIに送信するデータは、目的に必要な最小限の情報に限定し、可能な限り匿名化・仮名化を検討する,生成AIへの入力データは学習に使用されないことが保証されていれば、患者の同意なく診療情報を入力してよい,55,43
Q3-039,第3章,C,医療機関がクラウドサービスを利用して医療情報を取り扱う際に参照すべきガイドラインとして、最も適切なものはどれか。,0,0,1,4,3,8,注意,医療情報システムガイドラインが該当、他は別法令,医療法施行規則,医薬品の臨床試験の実施の基準に関する省令（GCP省令）,医療情報システムの安全管理に関するガイドライン,医療広告ガイドライン,23,15
Q3-040,第3章,D,医療従事者が業務で汎用の生成AIサービス（ChatGPT等）を利用する際のリスクに関する説明として、適切でないものはどれか。,0,1,0,5,4,10,注意,「有料で完全排除」は断定誘導、リスクゼロ化は不可,患者の氏名や病名を入力すると、個人情報の外部提供に該当する可能性がある,入力内容がサービス提供事業者のサーバーに送信・保存される,入力したデータがAIの学習データとして利用される可能性がある,有料プランを契約すれば、入力データの漏えいリスクは完全に排除される,33,31
